VideoID,PublishDate,VideoType,ContentTopic,Impressions,ClickThroughRate_Pct,Views,AverageViewDuration_Sec,WatchTime_Hours,Likes,Comments,Shares,EngagementRate_Pct,EstimatedRevenue_INR
VID-8246843,01-07-2024,Short,Goalkeeper Analysis,370150,71.97,266396,22,1627.98,20361,984,4749,9.8,12906.08
VID-7363718,03-07-2024,Short,Data Engineering in Sports,288108,73.53,211845,54,3177.68,9647,174,3712,6.39,9884.53
VID-8488258,05-07-2024,Short,Managerial Tactics,401999,34.43,138408,51,1960.78,4204,159,2229,4.76,3380.51
VID-1690957,05-07-2024,Short,Tactical Breakdown,331045,44.61,147679,43,1763.94,6383,270,2512,6.21,6331.58
VID-2759163,07-07-2024,Long-Form Video,Managerial Tactics,16998,2.79,474,227,29.89,38,4,16,12.24,187.76
VID-7648353,07-07-2024,Long-Form Video,Managerial Tactics,22092,4.66,1029,541,154.64,90,7,17,11.08,342.08
VID-2654013,07-07-2024,Short,Goalkeeper Analysis,185424,54.77,101556,36,1015.56,6529,112,875,7.4,4462.09
VID-9539612,07-07-2024,Long-Form Video,Managerial Tactics,9918,7.37,730,273,55.36,60,6,28,12.88,248.17
VID-5155190,07-07-2024,Long-Form Video,Match Preview,80586,5.86,4722,557,730.6,177,19,144,7.2,1572.56
VID-7513423,07-07-2024,Short,Goalkeeper Analysis,195271,41.75,81525,30,679.38,2314,31,1321,4.5,862.18
VID-7460611,08-07-2024,Short,Managerial Tactics,303382,34.95,106032,31,913.05,3546,90,2072,5.38,1426.34
VID-6615444,08-07-2024,Short,Match Preview,246444,41.93,103333,53,1521.29,4530,177,968,5.49,3627.47
VID-9105399,10-07-2024,Short,Goalkeeper Analysis,239680,64.84,155408,20,863.38,7154,316,3077,6.79,1566.69
VID-5928563,10-07-2024,Long-Form Video,Match Preview,146064,8.27,12079,358,1201.19,1050,72,318,11.92,2219.06
VID-6480159,10-07-2024,Live Stream,Data Engineering in Sports,40503,2.04,826,3330,764.05,106,23,10,16.83,1507.54
VID-4835470,11-07-2024,Short,Match Preview,178313,30.83,54973,34,519.19,3385,96,1097,8.33,2623.63
VID-3306396,11-07-2024,Short,Goalkeeper Analysis,177535,47.58,84471,40,938.57,3185,109,610,4.62,855.27
VID-9063324,12-07-2024,Short,Goalkeeper Analysis,466358,33.93,158235,48,2109.8,3834,46,1619,3.48,3927.12
VID-1298595,12-07-2024,Long-Form Video,Tactical Breakdown,45629,7.49,3417,238,225.9,263,23,53,9.92,1481.98
VID-2580429,13-07-2024,Short,Managerial Tactics,33123,41.52,13752,30,114.6,375,7,119,3.64,422.86
VID-5214228,13-07-2024,Long-Form Video,Transfer Market,22154,10.18,2255,250,156.6,112,14,45,7.58,371.81
VID-8853624,13-07-2024,Short,Tactical Breakdown,438658,48.59,213143,47,2782.7,16238,342,2965,9.17,8368.91
VID-8501126,14-07-2024,Short,Data Engineering in Sports,277389,35.33,98001,36,980.01,2812,29,628,3.54,2703.6
VID-5752672,14-07-2024,Short,Transfer Market,388675,65.09,252988,48,3373.17,19394,528,2580,8.89,12596.73
VID-5507311,15-07-2024,Short,Transfer Market,427242,67.86,289926,30,2416.05,15799,577,4460,7.19,7545.64
VID-1637391,18-07-2024,Live Stream,Transfer Market,18375,7.3,1341,1927,717.81,138,34,14,13.87,865.95
VID-8258861,18-07-2024,Short,Tactical Breakdown,23456,55.27,12964,31,111.63,801,32,176,7.78,485.87
VID-2484111,19-07-2024,Short,Managerial Tactics,151576,36.86,55870,27,419.02,2700,34,813,6.35,1912.74
VID-2104290,19-07-2024,Long-Form Video,Match Preview,15316,5.93,908,438,110.47,60,7,18,9.36,391.38
VID-9947675,19-07-2024,Short,Goalkeeper Analysis,266184,42.5,113128,37,1162.7,7276,331,875,7.5,1621.95
VID-1395344,21-07-2024,Long-Form Video,Goalkeeper Analysis,122344,9.41,11512,279,892.18,792,40,273,9.6,3329.43
VID-5649691,21-07-2024,Long-Form Video,Managerial Tactics,21035,10.39,2185,453,274.95,129,6,71,9.43,828.9
VID-2542670,22-07-2024,Short,Match Preview,45527,48.33,22003,35,213.92,1706,27,386,9.63,1075.72
VID-7682010,23-07-2024,Short,Data Engineering in Sports,321699,71.43,229789,36,2297.89,17506,642,3016,9.21,10281.45
VID-2969505,25-07-2024,Live Stream,Managerial Tactics,24691,7.78,1920,812,433.07,178,39,36,13.18,2156.67
VID-4752223,25-07-2024,Short,Match Preview,258898,63.09,163338,54,2450.07,4242,48,3186,4.58,6340.06
VID-7306423,27-07-2024,Long-Form Video,Managerial Tactics,128127,10.82,13863,328,1263.07,1383,84,300,12.75,5711.6
VID-1793432,28-07-2024,Long-Form Video,Match Preview,32813,9.71,3186,460,407.1,130,17,85,7.28,1394.86
VID-2807996,28-07-2024,Short,Transfer Market,23402,54.19,12681,32,112.72,611,12,155,6.14,602.33
VID-9310661,29-07-2024,Long-Form Video,Match Preview,15004,11.6,1740,472,228.13,84,5,54,8.22,309.45
VID-9929479,30-07-2024,Short,Managerial Tactics,466464,31.75,148102,36,1481.02,4878,67,2410,4.97,6998.91
VID-7071629,02-08-2024,Short,Match Preview,331640,52.6,174442,26,1259.86,10597,268,2095,7.43,7799.92
VID-5514012,03-08-2024,Long-Form Video,Goalkeeper Analysis,103609,8.91,9231,583,1494.91,803,48,290,12.36,3979.34
VID-8801259,03-08-2024,Long-Form Video,Match Preview,63845,5.17,3300,358,328.17,203,27,71,9.12,1236.61
VID-1732693,04-08-2024,Short,Transfer Market,298032,38.17,113758,40,1263.98,7558,110,1368,7.94,2697.2
VID-2591626,04-08-2024,Short,Transfer Market,333265,44.67,148869,29,1199.22,11182,294,1204,8.52,2027.97
VID-7397799,04-08-2024,Long-Form Video,Match Preview,90827,3.61,3278,565,514.46,163,21,56,7.32,610.38
VID-6249140,05-08-2024,Short,Managerial Tactics,86005,57.01,49031,46,626.51,1780,30,555,4.82,1131.04
VID-4808220,05-08-2024,Long-Form Video,Match Preview,10373,5.37,557,445,68.85,53,3,14,12.57,199.04
VID-5619687,06-08-2024,Short,Match Preview,314577,57.18,179875,35,1748.78,12903,471,910,7.94,7198.63
VID-2244864,06-08-2024,Long-Form Video,Managerial Tactics,64868,8.33,5403,274,411.23,509,58,59,11.59,1601.32
VID-5954269,07-08-2024,Short,Tactical Breakdown,60243,33.56,20217,26,146.01,921,13,273,5.97,354.39
VID-6176659,08-08-2024,Short,Match Preview,70352,72.73,51167,53,753.29,3918,140,292,8.5,2061.63
VID-9727234,08-08-2024,Short,Data Engineering in Sports,237427,73.57,174675,41,1989.35,5765,166,2194,4.65,8696.64
VID-7132429,08-08-2024,Short,Transfer Market,369489,64.18,237138,33,2173.76,6440,154,2609,3.88,10686.1
VID-2667273,09-08-2024,Short,Transfer Market,459559,38.61,177435,31,1527.91,6689,91,2695,5.34,5773.1
VID-1758882,09-08-2024,Short,Transfer Market,316026,61.13,193186,30,1609.88,5000,187,3652,4.58,6488.23
